style,filename
Rococo,30911.jpg
Impressionism,27981.jpg
Impressionism,41727.jpg
Realism,80010.jpg
Realism,52386.jpg
Magic Realism,12540.jpg
Romanticism,97897.jpg
Cubism,9361.jpg
High Renaissance,13453.jpg
Romanticism,21741.jpg
Rococo,40116.jpg
Realism,57756.jpg
Art Nouveau (Modern),39594.jpg
Surrealism,72900.jpg
Post-Impressionism,49761.jpg
Romanticism,62281.jpg
Romanticism,80522.jpg
Expressionism,97022.jpg
Post-Impressionism,3476.jpg
Expressionism,4415.jpg
Abstract Expressionism,9290.jpg
Realism,11712.jpg
Realism,90643.jpg
Impressionism,88348.jpg
Naïve Art (Primitivism),96265.jpg
Impressionism,87019.jpg
Realism,62500.jpg
Realism,18980.jpg
Northern Renaissance,59717.jpg
Impressionism,13999.jpg
Impressionism,102699.jpg
Post-Impressionism,54107.jpg
Romanticism,58091.jpg
Rococo,37226.jpg
Romanticism,98128.jpg
Impressionism,98901.jpg
Realism,43192.jpg
Romanticism,79699.jpg
Impressionism,16007.jpg
Post-Impressionism,84898.jpg
Neoclassicism,70066.jpg
Impressionism,92166.jpg
Art Informel,33131.jpg
Romanticism,51513.jpg
Cubism,67516.jpg
Realism,35824.jpg
Realism,76981.jpg
Romanticism,45332.jpg
Art Nouveau (Modern),78012.jpg
Impressionism,88162.jpg
Post-Impressionism,52172.jpg
Romanticism,60797.jpg
Art Informel,4221.jpg
Art Informel,4078.jpg
Impressionism,82253.jpg
Cubism,30384.jpg
Impressionism,31433.jpg
Romanticism,69274.jpg
Northern Renaissance,20268.jpg
Art Nouveau (Modern),62121.jpg
Expressionism,101623.jpg
Symbolism,98913.jpg
High Renaissance,17086.jpg
Realism,75888.jpg
Surrealism,13300.jpg
Early Renaissance,98846.jpg
Realism,34265.jpg
Neoclassicism,21657.jpg
Early Renaissance,79536.jpg
Ukiyo-e,48014.jpg
Expressionism,43660.jpg
Post-Impressionism,387.jpg
Naïve Art (Primitivism),74968.jpg
Rococo,62565.jpg
Expressionism,26914.jpg
Expressionism,52446.jpg
Romanticism,26660.jpg
Naïve Art (Primitivism),95028.jpg
Realism,52235.jpg
Impressionism,33953.jpg
Baroque,25676.jpg
Post-Impressionism,16724.jpg
Impressionism,52866.jpg
Art Nouveau (Modern),56532.jpg
Expressionism,83965.jpg
Expressionism,32329.jpg
Romanticism,58277.jpg
Surrealism,26136.jpg
Impressionism,91890.jpg
Expressionism,84536.jpg
Naïve Art (Primitivism),42792.jpg
